Municipality,Gem_code_CBS,Municipality_ID,Region,Region_ID,RES,RES_ID,Provincie,Provincie_ID
Buren,0214,GM0214,Fruitdelta Rivierenland,REG12,Fruitdelta Rivierenland,12,Gelderland,PV25
Westerveld,1701,GM1701,Drenthe,REG03,Drenthe,3,Drenthe,PV22
Oisterwijk,0824,GM0824,Hart van Brabant,REG33,Hart van Brabant,33,Noord-Brabant,PV30
Haarlem,0392,GM0392,IJmond-Zuid-Kennemerland,REG20,IJmond-Zuid-Kennemerland,20,Noord-Holland,PV27
Wormerland,0880,GM0880,Zaanstreek-Waterland,REG21,Zaanstreek-Waterland,21,Noord-Holland,PV27
Borne,0147,GM0147,Twente,REG04,Twente,4,Overijssel,PV23
Utrechtse Heuvelrug,1581,GM1581,U16,REG15,U16,15,Utrecht,PV26
Zeewolde,0050,GM0050,Flevoland,REG06,Flevoland,6,Flevoland,PV24
Stede Broec,0532,GM0532,West-Friesland,REG18,West-Friesland,18,Noord-Holland,PV27
Westervoort,0293,GM0293,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Waadhoeke,1949,GM1949,Friesland,REG02,Friesland,2,Fryslân,PV21
Koggenland,1598,GM1598,West-Friesland,REG18,West-Friesland,18,Noord-Holland,PV27
Sint-Michielsgestel,0845,GM0845,Noordoost-Brabant,REG35,Noordoost-Brabant,35,Noord-Brabant,PV30
Beekdaelen,1954,GM1954,Parkstad,REG38,Parkstad,38,Limburg,PV31
Bergeijk,1724,GM1724,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Krimpenerwaard,1931,GM1931,Midden-Holland,REG30,Midden-Holland,30,Zuid-Holland,PV28
Veere,0717,GM0717,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Aa en Hunze,1680,GM1680,Drenthe,REG03,Drenthe,3,Drenthe,PV22
Ouder-Amstel,0437,GM0437,Amstelland,REG24,Amstelland,24,Noord-Holland,PV27
Zwartewaterland,1896,GM1896,West-Overijssel,REG05,West-Overijssel,5,Overijssel,PV23
Doesburg,0221,GM0221,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Stadskanaal,0037,GM0037,Groningen,REG01,Groningen,1,Groningen,PV20
Hardinxveld-Giessendam,0523,GM0523,Drechtsteden,REG26,Drechtsteden,26,Zuid-Holland,PV28
Deurne,0762,GM0762,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Beek,0888,GM0888,Westelijke Mijnstreek,REG40,Westelijke Mijnstreek,40,Limburg,PV31
Terneuzen,0715,GM0715,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Capelle aan den IJssel,0502,GM0502,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Westerwolde,1950,GM1950,Groningen,REG01,Groningen,1,Groningen,PV20
Tytsjerksteradiel,0737,GM0737,Friesland,REG02,Friesland,2,Fryslân,PV21
Amsterdam,0363,GM0363,Amsterdam,REG19,Amsterdam,19,Noord-Holland,PV27
Pijnacker-Nootdorp,1926,GM1926,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Nijmegen,0268,GM0268,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Lopik,0331,GM0331,U16,REG15,U16,15,Utrecht,PV26
Sliedrecht,0610,GM0610,Drechtsteden,REG26,Drechtsteden,26,Zuid-Holland,PV28
Voerendaal,0986,GM0986,Parkstad,REG38,Parkstad,38,Limburg,PV31
Nieuwkoop,0569,GM0569,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Dalfsen,0148,GM0148,West-Overijssel,REG05,West-Overijssel,5,Overijssel,PV23
Bladel,1728,GM1728,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Landgraaf,0882,GM0882,Parkstad,REG38,Parkstad,38,Limburg,PV31
Tiel,0281,GM0281,Fruitdelta Rivierenland,REG12,Fruitdelta Rivierenland,12,Gelderland,PV25
Noordwijk,0575,GM0575,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Ooststellingwerf,0085,GM0085,Friesland,REG02,Friesland,2,Fryslân,PV21
Meppel,0119,GM0119,Drenthe,REG03,Drenthe,3,Drenthe,PV22
Laren,0417,GM0417,Gooi en Vechtstreek,REG22,Gooi en Vechtstreek,22,Noord-Holland,PV27
Gennep,0907,GM0907,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Barendrecht,0489,GM0489,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Rhenen,0340,GM0340,Foodvalley Utrecht,REG10,Foodvalley Utrecht,10,Utrecht,PV26
Beuningen,0209,GM0209,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Noordoostpolder,0171,GM0171,Flevoland,REG06,Flevoland,6,Flevoland,PV24
