Municipality,Gem_code_CBS,Municipality_ID,Region,Region_ID,RES,RES_ID,Provincie,Provincie_ID
Geertruidenberg,0779,GM0779,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Alphen-Chaam,1723,GM1723,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Oosterhout,0826,GM0826,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Gouda,0513,GM0513,Midden-Holland,REG30,Midden-Holland,30,Zuid-Holland,PV28
Stein,0971,GM0971,Westelijke Mijnstreek,REG40,Westelijke Mijnstreek,40,Limburg,PV31
Almelo,0141,GM0141,Twente,REG04,Twente,4,Overijssel,PV23
Houten,0321,GM0321,U16,REG15,U16,15,Utrecht,PV26
Kapelle,0678,GM0678,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Goirle,0785,GM0785,Hart van Brabant,REG33,Hart van Brabant,33,Noord-Brabant,PV30
Bergen (NH),0373,GM0373,Regio Alkmaar,REG17,Regio Alkmaar,17,Noord-Holland,PV27
Vught,0865,GM0865,Noordoost-Brabant,REG35,Noordoost-Brabant,35,Noord-Brabant,PV30
Meerssen,0938,GM0938,Maastricht Heuvelland,REG39,Maastricht Heuvelland,39,Limburg,PV31
Borsele,0654,GM0654,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Barneveld,0203,GM0203,Foodvalley Gelderland,REG09,Foodvalley Gelderland,9,Gelderland,PV25
Geldrop-Mierlo,1771,GM1771,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Rotterdam,0599,GM0599,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
IJsselstein,0353,GM0353,U16,REG15,U16,15,Utrecht,PV26
's-Hertogenbosch,0796,GM0796,Noordoost-Brabant,REG35,Noordoost-Brabant,35,Noord-Brabant,PV30
Stichtse Vecht,1904,GM1904,U16,REG15,U16,15,Utrecht,PV26
Winterswijk,0294,GM0294,Achterhoek,REG07,Achterhoek,7,Gelderland,PV25
Huizen,0406,GM0406,Gooi en Vechtstreek,REG22,Gooi en Vechtstreek,22,Noord-Holland,PV27
Duiven,0226,GM0226,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Haarlemmermeer,0394,GM0394,Haarlemmermeer,REG23,Haarlemmermeer,23,Noord-Holland,PV27
Bunnik,0312,GM0312,U16,REG15,U16,15,Utrecht,PV26
Zuidplas,1892,GM1892,Midden-Holland,REG30,Midden-Holland,30,Zuid-Holland,PV28
Den Helder,0400,GM0400,Kop van Noord-Holland,REG16,Kop van Noord-Holland,16,Noord-Holland,PV27
Veldhoven,0861,GM0861,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Goes,0664,GM0664,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Diemen,0384,GM0384,Amstelland,REG24,Amstelland,24,Noord-Holland,PV27
Simpelveld,0965,GM0965,Parkstad,REG38,Parkstad,38,Limburg,PV31
Heemskerk,0396,GM0396,IJmond-Zuid-Kennemerland,REG20,IJmond-Zuid-Kennemerland,20,Noord-Holland,PV27
Alblasserdam,0482,GM0482,Drechtsteden,REG26,Drechtsteden,26,Zuid-Holland,PV28
Hengelo (O),0164,GM0164,Twente,REG04,Twente,4,Overijssel,PV23
Hellendoorn,0163,GM0163,Twente,REG04,Twente,4,Overijssel,PV23
Zoeterwoude,0638,GM0638,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Hulst,0677,GM0677,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Delft,0503,GM0503,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Rijswijk,0603,GM0603,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Boekel,0755,GM0755,Noordoost-Brabant,REG35,Noordoost-Brabant,35,Noord-Brabant,PV30
Heemstede,0397,GM0397,IJmond-Zuid-Kennemerland,REG20,IJmond-Zuid-Kennemerland,20,Noord-Holland,PV27
Amstelveen,0362,GM0362,Amstelland,REG24,Amstelland,24,Noord-Holland,PV27
Veendam,0047,GM0047,Groningen,REG01,Groningen,1,Groningen,PV20
Gulpen-Wittem,1729,GM1729,Maastricht Heuvelland,REG39,Maastricht Heuvelland,39,Limburg,PV31
Leusden,0327,GM0327,Amersfoort,REG14,Amersfoort,14,Utrecht,PV26
Lisse,0553,GM0553,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Leeuwarden,0080,GM0080,Friesland,REG02,Friesland,2,Fryslân,PV21
Eindhoven,0772,GM0772,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Schiermonnikoog,0088,GM0088,Friesland,REG02,Friesland,2,Fryslân,PV21
